,glac_name,glacier_id,surging,probability,training_data,validation
749,Bjelopolskibreen,G016708E76658N,0,0.93169044825438,,
750,Samarinbreen East,G016383E76859N,0,0.8469996811897815,,
751,Hyrnebreen,G016184E77044N,0,0.9701150965230646,,
752,Wibebreen,G016136E77068N,0,0.9643635184967387,,
753,,G016095E77051N,1,0.6229307987924227,,
754,Lorchbreen,G016109E77039N,0,0.9781761890766841,,
755,Mülbacherbreen,G015932E77077N,1,0.5700561950437603,,
756,Paierlbreen,G015881E77080N,0,0.5498856131191272,,
757,Paierlbreen,G015887E77076N,1,0.561407211048721,,
758,Paierlbreen,G015897E77068N,1,0.5544328276612112,,
759,Paierlbreen,G015862E77085N,0,0.5442609073301545,,
760,Paierlbreen,G015743E77081N,1,0.7470637935126272,,
761,Hansbreen,G015592E77097N,1,0.6835120340775029,0,0
762,Sofiebreen,G015779E77044N,0,0.9893462140505257,,
763,,G015367E77052N,1,0.5921525290530825,,
764,Werenskioldbreen,G015442E77070N,0,0.9709359346927989,,
765,,G015285E77115N,1,0.5504390101101517,,
766,Nannbreen,G015353E77134N,0,0.9578836360561189,,
767,Austre Torellbreen,G015264E77154N,0,0.981306657396415,,
768,Austre Torellbreen,G015269E77165N,1,0.5475902244202256,,
769,Raudfjellbreen,G015112E77214N,0,0.9274585327937099,,
770,Vestre Torrellbreen,G015026E77342N,0,0.9784492781436225,,
771,,G014651E77324N,1,0.5776724010702579,,
772,Libreen,G014643E77345N,0,0.5495538736210952,,
773,Dunderdalsbreen,G014723E77368N,0,0.5355770571149228,,
774,,G014645E77430N,0,0.5791830082785041,,
775,Crammerbreane S,G014441E77439N,0,0.7678494029285843,,
776,Dolterbreen,G014370E77462N,0,0.940367090693212,,
777,Crammerbreane N,G014397E77469N,0,0.8926518388485576,,
778,,G014395E77480N,0,0.7223516551397762,,
779,,G014202E77490N,0,0.9790199135778803,,
780,Austre Lognedalsbre,G014159E77485N,0,0.6744275751828052,,
781,Vestre Lognedalsbre,G014120E77485N,0,0.9231172547811864,,
782,,G014200E77504N,0,0.8304503999974775,,
783,Ringarbreane,G014195E77520N,0,0.5423213717229325,,
784,Ringarbreane,G014162E77518N,0,0.7935364095382369,,
785,Blomlibreen,G014301E77543N,0,0.9944152076987762,,
786,Scottbreen,G014350E77542N,1,0.7091643444465892,,
787,Renardbreen,G014308E77502N,0,0.912617874233973,,
788,,G014483E77422N,1,0.7732680715865466,,
789,,G014338E77371N,0,0.7745138485073333,,
790,,G014418E77362N,0,0.8003621815121482,,
791,Saksbreen,G014471E77366N,1,0.5451276193782089,,
792,Recherchebreen,G015037E77377N,1,0.8607183888391295,1,1
793,Antoniabreen,G015003E77469N,0,0.8196576599467573,,
794,Hessbreen,G015102E77507N,0,0.7303474936328745,,
795,Blumckebreane,G015045E77527N,0,0.9706521860841679,,
796,Finsterwalderbreen,G015235E77463N,0,0.9925972461372963,,
797,Finsterwalderbreen,G015337E77464N,0,0.9371979351948785,,
798,Finsterwalderbreen,G015387E77480N,0,0.9912557331620185,,
799,,G015437E77470N,1,0.6362126080707491,,
800,,G015432E77461N,0,0.9797270520186384,,
801,Märjelbreen,G015452E77447N,0,0.8801662870133649,,
802,Sveitsarfonna,G015502E77425N,1,0.9493054834064427,0,1
803,Penckbreen,G015616E77394N,1,0.9489507199810138,1,1
804,Hassingerbreen,G015787E77452N,0,0.9853923984689624,,
805,Sotryggfonna,G015909E77443N,0,0.7494174477539952,,
806,Tvillingbreane,G015904E77434N,0,0.8223098637404807,,
807,,G016002E77418N,0,0.9763045549113045,,
808,Aurkollfonna,G015979E77404N,0,0.9824275847488506,,
809,Aurkollfonna,G016006E77397N,1,0.5454978606193093,,
810,Langryggbreen,G015914E77388N,0,0.9873117941804634,,
811,Zawadzkibreen,G015857E77338N,1,0.7468794875218658,0,1
812,Zawadzkibreen,G016086E77348N,0,0.9834097958691771,,
813,,G016176E77325N,0,0.9867256234472098,,
814,Polakkbreen,G016187E77275N,1,0.9529375346884941,0,1
815,,G016566E77367N,0,0.938074341871465,,
816,,G016561E77390N,1,0.6749304072692287,0,1
817,Liestølbreen,G016568E77408N,0,0.6464389694813957,,
818,Liestølbreen,G016598E77418N,0,0.7623738773619982,,
819,Liestølbreen,G016652E77403N,0,0.9038799061152553,,
820,Liestølbreen,G016805E77408N,1,0.5535902244202257,,
821,Liestølbreen,G016915E77433N,1,0.8294582220041988,1,1
822,,G016442E77410N,0,0.7702407510680024,,
823,Dobrowolskibreen,G016634E77343N,1,0.6266132451570819,0,1
824,Nathorstbreen,G016633E77290N,1,0.950687534688494,1,1
825,Nuddbreen / Strongbreen,G017333E77537N,0,0.8482416351842319,,
826,Doktorbreen,G016885E77574N,1,0.6138388560716016,0,1
827,Doktorbreen,G016434E77540N,0,0.9706129197301061,,
828,Storvolbreen,G016247E77533N,0,0.5467475621983511,,
829,,G016283E77552N,0,0.6683233897481429,,
830,,G016200E77552N,1,0.6659090407259278,,
831,,G016326E77566N,0,0.9221987168627758,,
832,Steenstrupbreen,G016290E77607N,0,0.9811025190786982,,
833,Sysselmanbreen,G016154E77606N,0,0.6856487655970444,,
834,Sysselmanbreen,G016127E77633N,0,0.9846985650868522,,
835,Ringbreen,G015912E77602N,0,0.8062973839826114,,
836,Reidbreen,G015850E77619N,0,0.8025721248555081,,
837,Reidbreen,G015784E77612N,0,0.7237884686530602,,
838,,G015951E77677N,0,0.7234911615963917,,
839,,G016061E77733N,0,0.8149570212319457,,
840,Bessemerbreen,G016601E77774N,0,0.7901955594080226,,
841,,G016668E77781N,0,0.955443290249181,,
842,Elektrobreen,G016716E77776N,0,0.9898249771347067,,
843,,G016693E77762N,0,0.9636777435160722,,
844,Nobelbreen,G016705E77734N,0,0.8596060360024529,,
845,Hettebreen,G016798E77743N,1,0.6972266413762251,,
846,Høgbreen,G016839E77752N,0,0.8123550133605028,,
847,,G016927E77742N,0,0.5726080309339909,,
848,,G016929E77746N,1,0.6046407926574728,,
849,,G016942E77757N,1,0.7554701982927176,,
850,,G017237E77792N,1,0.5919489740080711,,
851,Ragna-Mariebreen,G017374E77800N,0,0.6183658805272272,,
852,,G017377E77768N,0,0.9040956098286917,,
853,Bakaninbreen,G017525E77773N,0,0.9765626486158709,,
854,Mettebreen,G017270E77822N,0,0.8736365563586421,,
855,Vallåkrabreen,G017195E77830N,0,0.9265480939250372,,
856,,G017161E77821N,0,0.7216392485104578,,
857,,G017109E77824N,1,0.5520156630167168,,
858,Bjartfonna S,G017036E77853N,0,0.5442696021657321,,
859,Stabbarpbreen,G016974E77864N,0,0.9845397950875314,,
860,Bjartfonna S,G016940E77851N,0,0.9515833063433379,,
861,,G016972E77878N,0,0.982196875426187,,
862,Bosarpbreen,G017053E77880N,0,0.9866518747692228,,
863,Bosarpbreen,G017115E77893N,0,0.877589853061939,,
864,Billesholmbreen,G017148E77901N,0,0.9621868240837672,,
865,Bjuvbreen,G017215E77906N,1,0.7586789382178986,,
866,Hyllingebreen,G017290E77908N,1,0.5545080292522815,,
867,Hyllingebreen,G017348E77913N,0,0.865817466926503,,
868,Kroppbreen,G017401E77894N,0,0.9754591552355135,,
869,Edvardbreen,G017581E77914N,1,0.5578806153685036,,
870,Edvardbreen,G017549E77872N,0,0.8745159736602179,,
871,Nordsysselbreen,G017769E77848N,0,0.9331116433755862,,
872,Inglefieldbreen,G017911E77804N,0,0.9120951794562379,,
873,Arnesenbreen,G018098E77802N,1,0.9511732489742084,1,1
874,Beresnikovbreen,G018243E77797N,0,0.9780193263315862,,
875,Bratthengbreen,G018363E77756N,0,0.7199686294217301,,
876,Ingerbreen,G018231E77758N,0,0.6485030525665494,,
877,,G018342E77736N,0,0.6800140686027211,,
878,Richardsbreen,G018165E77701N,0,0.858061123990162,,
